IN,印度,49.14.113.166,28.77
ID,印尼,8.18.195.255,-4.96
EG,埃及,196.202.127.255,24.30
IR,伊朗,78.38.48.127,35.51
PH,菲律宾,2.58.231.255,15.121
ZA,南非,41.31.255.255,-30.25
UZ,乌兹别克斯坦,31.135.215.255,41.69
PK,巴基斯坦,14.192.159.255,33.73
NP,尼泊尔,27.34.127.255,27.85
SD,苏丹,196.49.66.6,15.32
IQ,伊拉克,5.1.111.255,33.44
RU,俄罗斯,213.108.39.255,55.37
AE,阿联酋,217.165.131.2,25.54
MY,马来西亚,103.18.88.8,3.101
US,美国,67.220.90.13,41.-102
MA,摩洛哥,41.92.114.53,33.-6
SA,沙特阿拉伯,5.41.255.255,25.47
PE,秘鲁,45.5.71.255,-12.-77
CO,哥伦比亚,23.7.15.255,5.-74
LK,斯里兰卡,43.228.111.255,6.79
MX,墨西哥,170.245.88.8,19.-99
UA,乌克兰,195.216.226.255,50.30
GB,英国,31.222.79.255,52.1
CN,中国,1.1.63.255,40.116
TH,泰国,195.190.133.255,14.100
